Numbs,School Year,Totals Female: Asians (Tot. F),Totals Female: Black/African American (Tot. F),Totals Female: Hispanics of any race (Tot. F),Totals Female: American Indian/Alaska Native (Tot. F),Totals Female: Native Hawaiian/Other Pacific Islander (Tot. F),Totals Female: Two or more races (Tot. F),Totals Female: White (Tot. F)
567,2010-2011,7,6,2,,,3,12
568,2011-2012,6,6,1,,,3,15
569,2012-2013,10,6,5,0,0,1,13
570,2013-2014,13,6,5,0,0,0,9
571,2015-2016,9,4,0,0,0,2,19
572,2008-2009,,,,,,,
573,2009-2010,,,,,,,
574,2010-2011,,,,,,,
575,2011-2012,,,,,,,
576,2004-2005,,,,,,,
577,2005-2006,,,,,,,
578,2006-2007,,,,,,,
579,2007-2008,,,,,,,
580,2001-2002,75,20,1,2,0,1,83
581,2002-2003,65,14,1,,,,83
582,2003-2004,,,,,,,
583,2004-2005,31,7,3,0,0,0,55
584,2005-2006,26,6,5,0,0,0,62
585,2006-2007,28,33,4,1,0,0,53
586,2007-2008,,,,,,,
587,2008-2009,,,,,,,
588,2004-2005,,,,,,,
589,2005-2006,,,,,,,
590,2006-2007,,,,,,,
591,2007-2008,,,,,,,
592,2008-2009,,,,,,,
593,2009-2010,,,,,,,
594,2010-2011,,,,,,,
595,2011-2012,17,11,1,0,1,2,58
596,2010-2011,,,,,,,
597,2012-2013,24,9,4,1,1,5,54
598,2013-2014,24,13,3,1,1,3,54
599,2014-2015,23,11,4,1,1,6,51
600,2015-2016,21,10,6,0,0,6,54
601,2016-2017,24,11,9,0,0,6,48
602,2004-2005,,,,,,,
603,2005-2006,,,,,,,
604,2006-2007,,,,,,,
605,2007-2008,,,,,,,
606,2008-2009,,,,,,,
607,2009-2010,,,,,,,
608,2010-2011,,,,,,,
609,2011-2012,27,15,6,0,0,6,46
610,2012-2013,39,15,9,1,0,3,61
611,2013-2014,62,12,10,1,0,5,90
612,2014-2015,90,12,15,0,0,10,104
613,2015-2016,136,16,19,0,0,15,128
614,2016-2017,168,27,26,0,0,18,152
615,2015-2016,,,,,,,
616,2010-2011,,,,,,,0
617,2011-2012,,,,,,,
618,2012-2013,,,,,,,
619,2013-2014,,,,,,,
620,2014-2015,,,,,,,
621,2004-2005,,,,,,,
622,2005-2006,,,,,,,
623,2006-2007,,,,,,,
624,2007-2008,,,,,,,
625,2008-2009,,,,,,,
626,2009-2010,,,,,,,
627,2012-2013,9,0,3,0,0,3,26
628,2013-2014,11,0,5,0,0,3,39
629,2014-2015,13,0,6,0,0,3,36
630,2015-2016,15,0,2,0,0,6,24
631,2008-2009,,,,,,,
632,2009-2010,,,,,,,
633,2010-2011,,,,,,,
634,2011-2012,,,,,,,
635,2008-2009,,,,,,,
636,2009-2010,,,,,,,
637,2010-2011,1,0,1,0,0,0,12
638,2011-2012,2,0,1,0,0,0,10
639,2012-2013,3,0,0,0,0,0,6
640,2013-2014,3,0,0,0,0,0,9
641,2014-2015,4,0,2,0,0,2,14
642,2015-2016,4,0,3,0,0,1,11
643,2010-2011,1,0,0,0,0,0,1
644,2011-2012,3,0,0,0,0,0,4
645,2012-2013,4,0,1,0,0,0,9
646,2013-2014,4,0,1,0,0,0,11
647,2014-2015,1,0,0,0,0,0,8
648,2015-2016,1,0,0,0,0,1,9
649,2014-2015,,,,,,,2
650,2014-2015,,,,,,,
651,2004-2005,,,,,,,
652,2005-2006,,,,,,,
653,2006-2007,,,,,,,
654,2007-2008,,,,,,,
655,2008-2009,,,,,,,
656,2009-2010,,,,,,,
657,2008-2009,,,,,,,
658,2009-2010,,,,,,,
659,2004-2005,,,,,,,
660,2005-2006,,,,,,,
661,2006-2007,,,,,,,
662,2007-2008,,,,,,,
663,2008-2009,,,,,,,
664,2009-2010,,,,,,,
665,2004-2005,,,,,,,
666,2005-2006,,,,,,,
667,2006-2007,,,,,,,
668,2007-2008,,,,,,,
669,2008-2009,,,,,,,
670,2009-2010,,,,,,,
671,2004-2005,,,,,,,
672,2005-2006,,,,,,,
673,2006-2007,,,,,,,
674,2007-2008,,,,,,,
675,2008-2009,,,,,,,
676,2009-2010,,,,,,,
677,2004-2005,,,,,,,
678,2005-2006,,,,,,,
679,2006-2007,,,,,,,
680,2007-2008,,,,,,,
681,2008-2009,,,,,,,
682,2009-2010,,,,,,,
683,2004-2005,,,,,,,
684,2005-2006,,,,,,,
685,2006-2007,,,,,,,
686,2007-2008,,,,,,,
687,2008-2009,,,,,,,
688,2009-2010,,,,,,,
689,2004-2005,,,,,,,
690,2005-2006,,,,,,,
691,2006-2007,,,,,,,
692,2007-2008,,,,,,,
693,2008-2009,,,,,,,
694,2009-2010,,,,,,,
695,2004-2005,,,,,,,
696,2005-2006,,,,,,,
697,2006-2007,,,,,,,
698,2007-2008,,,,,,,
699,2008-2009,,,,,,,
700,2009-2010,,,,,,,
701,2004-2005,,,,,,,
702,2005-2006,,,,,,,
703,2006-2007,,,,,,,
704,2007-2008,,,,,,,
705,2008-2009,,,,,,,
706,2009-2010,,,,,,,
707,2004-2005,,,,,,,
708,2005-2006,,,,,,,
709,2006-2007,,,,,,,
710,2007-2008,,,,,,,
711,2008-2009,,,,,,,
712,2009-2010,,,,,,,
713,2007-2008,1,,,,,,3
714,2008-2009,1,1,,,,,4
715,2009-2010,1,3,,,,,5
716,2010-2011,1,,1,,,,10
717,2011-2012,1,1,1,,,,8
718,2012-2013,,,,,,,6
719,2013-2014,2,2,1,,,,5
720,2014-2015,1,1,1,0,0,0,8
721,2007-2008,,1,,,,,6
722,2008-2009,,,,,,,
723,2009-2010,1,3,,,,,11
724,2010-2011,,1,,,,,14
725,2011-2012,1,1,,,,,14
726,2012-2013,1,1,,,,,15
727,2013-2014,5,1,,,,,26
728,2014-2015,20,1,0,1,0,0,28
729,2005-2006,3,4,0,0,0,1,28
730,2006-2007,2,6,0,0,0,0,31
731,2007-2008,4,7,1,1,,,39
732,2009-2010,6,8,1,,,,66
733,2010-2011,7,9,5,,1,,70
734,2011-2012,6,9,6,1,1,,84
735,2012-2013,7,6,6,,1,,95
736,2013-2014,7,9,9,,1,,142
737,2014-2015,43,9,12,1,0,0,145
738,2008-2009,2,5,2,,,,45
739,2004-2005,,,,,,,
740,2005-2006,,,,,,,
741,2006-2007,,,,,,,
742,2007-2008,,,,,,,
743,2008-2009,,,,,,,
744,2009-2010,,,,,,,
745,2010-2011,,,,,,,
746,2011-2012,,,,,,,
747,2004-2005,,,,,,,
748,2005-2006,,,,,,,
749,2006-2007,,,,,,,
750,2007-2008,,,,,,,
751,2008-2009,,,,,,,
752,2009-2010,,,,,,,
753,2006-2007,,,,,,,
754,2007-2008,,,,,,,
755,2008-2009,,,,,,,
756,2009-2010,,,,,,,
757,2004-2005,,,,,,,
758,2005-2006,,,,,,,
759,2006-2007,,,,,,,
760,2007-2008,,,,,,,
761,2008-2009,,,,,,,
762,2009-2010,,,,,,,
763,2010-2011,5,1,,,,,27
764,2011-2012,1,4,1,,,,29
765,2013-2014,2,1,3,,,1,29
766,2014-2015,2,2,3,,1,1,32
767,2015-2016,3,2,5,,1,,30
768,2016-2017,8,2,2,,2,2,27
769,2012-2013,,4,2,,,,33
770,2004-2005,,,,,,,
771,2005-2006,,,,,,,
772,2006-2007,,,,,,,
773,2007-2008,,,,,,,
774,2008-2009,,,,,,,
775,2009-2010,,,,,,,
776,2010-2011,1,2,1,,,,15
777,2011-2012,1,1,1,,,,19
778,2012-2013,1,1,2,,,,23
779,2013-2014,2,,2,,,2,30
780,2014-2015,3,1,4,1,,2,29
781,2015-2016,3,1,4,1,,4,26
782,2016-2017,8,,5,,,1,23
783,2004-2005,,,,,,,
784,2005-2006,,,,,,,
785,2006-2007,,,,,,,
786,2007-2008,,,,,,,
787,2008-2009,,,,,,,
